ISO|Code|Code2|Freq|Time|Value
AUS|CSCICP04|GPSA|M|2024M4|-0.18
AUS|CSCICP04|GPSA|M|2024M5|0
AUS|CSCICP04|GPSA|M|2024M6|0.18
AUS|CSCICP04|GPSA|M|2024M7|-0.09
AUS|CSCICP04|GPSA|M|2024M8|0.18
AUS|CSCICP04|GPSA|M|2024M9|0
AUT|CSCICP04|GPSA|M|2024M4|0.36
AUT|CSCICP04|GPSA|M|2024M5|-0.2
AUT|CSCICP04|GPSA|M|2024M6|0.28
AUT|CSCICP04|GPSA|M|2024M7|-0.23
AUT|CSCICP04|GPSA|M|2024M8|0.22
AUT|CSCICP04|GPSA|M|2024M9|-0.11
BEL|CSCICP04|GPSA|M|2024M4|0.08
BEL|CSCICP04|GPSA|M|2024M5|-0.05
BEL|CSCICP04|GPSA|M|2024M6|0.41
BEL|CSCICP04|GPSA|M|2024M7|-0.22
BEL|CSCICP04|GPSA|M|2024M8|0.22
BEL|CSCICP04|GPSA|M|2024M9|-0.17
BRA|CSCICP04|GPSA|M|2024M4|0.17
BRA|CSCICP04|GPSA|M|2024M5|-0.36
BRA|CSCICP04|GPSA|M|2024M6|0.17
BRA|CSCICP04|GPSA|M|2024M7|0.16
BRA|CSCICP04|GPSA|M|2024M8|0.03
BRA|CSCICP04|GPSA|M|2024M9|0.04
CAN|CSCICP04|GPSA|M|2024M4|-0.46
CAN|CSCICP04|GPSA|M|2024M5|0.11
CAN|CSCICP04|GPSA|M|2024M6|0.25
CAN|CSCICP04|GPSA|M|2024M7|0.06
CAN|CSCICP04|GPSA|M|2024M8|-0.01
CAN|CSCICP04|GPSA|M|2024M9|0.17
CHE|CSCICP04|GPSA|M|2024M4|0.11
CHE|CSCICP04|GPSA|M|2024M5|0.11
CHE|CSCICP04|GPSA|M|2024M6|0.2
CHE|CSCICP04|GPSA|M|2024M7|0.2
CHE|CSCICP04|GPSA|M|2024M8|0.2
CHL|CSCICP04|GPSA|M|2024M4|-0.31
CHL|CSCICP04|GPSA|M|2024M5|-0.02
CHL|CSCICP04|GPSA|M|2024M6|0.4
CHL|CSCICP04|GPSA|M|2024M7|-0.45
CHL|CSCICP04|GPSA|M|2024M8|0.46
CHN|CSCICP04|GPSA|M|2024M4|-0.14
CHN|CSCICP04|GPSA|M|2024M5|-0.21
CHN|CSCICP04|GPSA|M|2024M6|-0.02
CHN|CSCICP04|GPSA|M|2024M7|-0.02
CHN|CSCICP04|GPSA|M|2024M8|-0.02
COL|CSCICP04|GPSA|M|2024M4|0.09
COL|CSCICP04|GPSA|M|2024M5|-0.15
COL|CSCICP04|GPSA|M|2024M6|0.08
COL|CSCICP04|GPSA|M|2024M7|0.2
COL|CSCICP04|GPSA|M|2024M8|-0.34
CRI|CSCICP04|GPSA|M|2024M4|-0.26
CRI|CSCICP04|GPSA|M|2024M5|-0.26
CRI|CSCICP04|GPSA|M|2024M6|0.35
CRI|CSCICP04|GPSA|M|2024M7|0.35
CRI|CSCICP04|GPSA|M|2024M8|0.35
CZE|CSCICP04|GPSA|M|2024M4|0.21
CZE|CSCICP04|GPSA|M|2024M5|0.02
CZE|CSCICP04|GPSA|M|2024M6|0.04
CZE|CSCICP04|GPSA|M|2024M7|-0.25
CZE|CSCICP04|GPSA|M|2024M8|0.05
CZE|CSCICP04|GPSA|M|2024M9|0
DEU|CSCICP04|GPSA|M|2024M4|0.4
DEU|CSCICP04|GPSA|M|2024M5|0.04
DEU|CSCICP04|GPSA|M|2024M6|-0.01
DEU|CSCICP04|GPSA|M|2024M7|0.27
DEU|CSCICP04|GPSA|M|2024M8|-0.27
DEU|CSCICP04|GPSA|M|2024M9|-0.13
DNK|CSCICP04|GPSA|M|2024M4|-0.24
DNK|CSCICP04|GPSA|M|2024M5|0.4
DNK|CSCICP04|GPSA|M|2024M6|0.1
DNK|CSCICP04|GPSA|M|2024M7|-0.14
DNK|CSCICP04|GPSA|M|2024M8|-0.17
DNK|CSCICP04|GPSA|M|2024M9|0.15
ESP|CSCICP04|GPSA|M|2024M4|0.13
ESP|CSCICP04|GPSA|M|2024M5|0.02
