ISO,Country,01-06-2020,01-07-2020,01-08-2020,01-09-2020,01-10-2020,01-11-2020,01-12-2020
AUS,Australia,99.330,-0.549,-0.736,1.297,1.006,0.272,0.361
AUT,Austria,99.805,-0.203,-0.023,0.361,-0.517,-0.452,0.443
BEL,Belgium,99.903,-0.353,-0.263,0.553,-0.079,0.105,0.733
CAN,Canada,98.707,0.158,-0.231,0.289,-0.525,0.000,0.652
CHL,Chile,,0.113,0.539,0.133,0.425,-0.047,0.037
COL,Colombia,97.554,0.024,0.437,0.226,0.178,0.296,0.189
CZE,Czech Republic,100.295,0.178,-0.209,-0.021,-0.794,-0.242,0.644
DNK,Denmark,100.167,-0.014,-0.241,0.100,0.128,-0.312,0.556
EST,Estonia,99.244,0.312,0.061,0.121,0.078,-0.879,0.357
FIN,Finland,99.474,0.301,-0.405,-0.071,-0.089,0.390,-0.159
FRA,France,99.300,0.063,0.016,0.235,-0.391,-0.706,1.058
DEU,Germany,99.644,0.060,0.217,0.024,-0.145,-0.253,0.133
GRC,Greece,100.204,-0.364,-0.016,-0.313,-0.236,-0.147,0.189
HUN,Hungary,99.950,0.182,0.157,-0.030,-0.181,0.018,-0.175
IRL,Ireland,99.357,0.218,-0.061,-0.014,0.027,0.442,0.325
ISR,Israel,98.383,-1.090,0.922,-0.123,-0.550,1.305,
ITA,Italy,100.060,-0.232,0.142,0.039,-0.271,-0.310,0.402
JPN,Japan,97.228,0.225,-0.041,0.695,0.183,0.020,-0.385
KOR,Korea,97.601,0.314,0.522,-1.141,1.601,0.814,-1.038
LVA,Latvia,99.212,-0.194,0.468,-0.342,0.291,-0.422,-0.282
LTU,Lithuania,100.116,0.057,0.057,0.247,0.161,-0.492,0.124
LUX,Luxembourg,99.390,-0.439,-0.588,0.776,0.257,-0.933,0.720
MEX,Mexico,97.957,0.636,0.193,0.363,0.346,-0.154,0.335
NLD,Netherlands,99.089,0.070,0.030,0.100,-0.288,0.459,0.417
NZL,New Zealand,98.689,-0.068,-0.068,-0.068,0.355,0.354,0.352
POL,Poland,99.007,0.642,-0.113,-0.576,0.088,-0.441,0.329
PRT,Portugal,99.032,-0.174,0.116,-0.199,0.108,-0.290,0.316
SVK,Slovak Republic,99.415,0.059,0.312,-0.010,-0.291,0.049,0.088
SVN,Slovenia,98.309,0.240,0.567,-0.125,-0.602,-0.518,0.228
ESP,Spain,98.623,0.000,-0.321,0.250,-0.042,-0.239,0.614
SWE,Sweden,99.384,0.208,0.185,0.415,0.092,-0.505,0.600
CHE,Switzerland,97.515,0.632,0.628,-0.025,-0.025,-0.025,
TUR,Turkey,99.182,-0.044,-0.319,0.287,-0.011,-0.198,0.000
GBR,United Kingdom,98.630,0.522,0.000,-0.153,-0.296,-0.261,0.761
USA,United States,99.282,-0.467,0.134,0.527,0.116,-0.407,0.317
OTO,OECD,98.937,-0.096,0.066,0.302,0.065,-0.225,0.273
BRA,Brazil,98.582,0.683,0.123,0.281,-0.088,-0.061,-0.281
CHN,China,100.298,0.704,-0.122,0.624,0.182,0.347,
CRI,Costa Rica,98.878,-0.464,-0.467,0.367,0.366,0.364,
IDN,Indonesia,98.837,0.148,0.043,-0.217,-0.267,0.801,0.273
RUS,Russian Federation,98.035,0.361,0.359,,,,
ZAF,South Africa,97.141,0.306,0.305,0.304,0.333,0.332,0.331
