ISO|Code|Code2|Freq|Time|Value
A5M|CSCICP04|GPSA|M|1982M6|-0.13
A5M|CSCICP04|GPSA|M|1982M7|-0.13
A5M|CSCICP04|GPSA|M|1982M8|0
A5M|CSCICP04|GPSA|M|1982M9|0
A5M|CSCICP04|GPSA|M|1982M10|0
A5M|CSCICP04|GPSA|M|1982M11|0.07
A5M|CSCICP04|GPSA|M|1982M12|0.07
A5M|CSCICP04|GPSA|M|1983M1|0.07
A5M|CSCICP04|GPSA|M|1983M2|0.13
A5M|CSCICP04|GPSA|M|1983M3|0.13
A5M|CSCICP04|GPSA|M|1983M4|0.13
A5M|CSCICP04|GPSA|M|1983M5|0
A5M|CSCICP04|GPSA|M|1983M6|0
A5M|CSCICP04|GPSA|M|1983M7|0
A5M|CSCICP04|GPSA|M|1983M8|0.13
A5M|CSCICP04|GPSA|M|1983M9|0.13
A5M|CSCICP04|GPSA|M|1983M10|0.13
A5M|CSCICP04|GPSA|M|1983M11|0
A5M|CSCICP04|GPSA|M|1983M12|0
A5M|CSCICP04|GPSA|M|1984M1|0
A5M|CSCICP04|GPSA|M|1984M2|0
A5M|CSCICP04|GPSA|M|1984M3|0
A5M|CSCICP04|GPSA|M|1984M4|0
A5M|CSCICP04|GPSA|M|1984M5|0.07
A5M|CSCICP04|GPSA|M|1984M6|0.07
A5M|CSCICP04|GPSA|M|1984M7|0.07
A5M|CSCICP04|GPSA|M|1984M8|0
A5M|CSCICP04|GPSA|M|1984M9|0
A5M|CSCICP04|GPSA|M|1984M10|0
A5M|CSCICP04|GPSA|M|1984M11|0.07
A5M|CSCICP04|GPSA|M|1984M12|0.07
A5M|CSCICP04|GPSA|M|1985M1|0.07
A5M|CSCICP04|GPSA|M|1985M2|-0.07
A5M|CSCICP04|GPSA|M|1985M3|-0.07
A5M|CSCICP04|GPSA|M|1985M4|-0.07
A5M|CSCICP04|GPSA|M|1985M5|0
A5M|CSCICP04|GPSA|M|1985M6|0
A5M|CSCICP04|GPSA|M|1985M7|0
A5M|CSCICP04|GPSA|M|1985M8|0
A5M|CSCICP04|GPSA|M|1985M9|0
A5M|CSCICP04|GPSA|M|1985M10|0
A5M|CSCICP04|GPSA|M|1985M11|-0.07
A5M|CSCICP04|GPSA|M|1985M12|-0.07
A5M|CSCICP04|GPSA|M|1986M1|-0.07
A5M|CSCICP04|GPSA|M|1986M2|-0.07
A5M|CSCICP04|GPSA|M|1986M3|-0.07
A5M|CSCICP04|GPSA|M|1986M4|-0.07
A5M|CSCICP04|GPSA|M|1986M5|-0.13
A5M|CSCICP04|GPSA|M|1986M6|-0.13
A5M|CSCICP04|GPSA|M|1986M7|-0.13
A5M|CSCICP04|GPSA|M|1986M8|-0.13
A5M|CSCICP04|GPSA|M|1986M9|-0.13
A5M|CSCICP04|GPSA|M|1986M10|-0.13
A5M|CSCICP04|GPSA|M|1986M11|-0.07
A5M|CSCICP04|GPSA|M|1986M12|-0.07
A5M|CSCICP04|GPSA|M|1987M1|-0.07
A5M|CSCICP04|GPSA|M|1987M2|0.2
A5M|CSCICP04|GPSA|M|1987M3|0.2
A5M|CSCICP04|GPSA|M|1987M4|0.2
A5M|CSCICP04|GPSA|M|1987M5|0.2
A5M|CSCICP04|GPSA|M|1987M6|0.2
A5M|CSCICP04|GPSA|M|1987M7|0.2
A5M|CSCICP04|GPSA|M|1987M8|0.07
A5M|CSCICP04|GPSA|M|1987M9|0.07
A5M|CSCICP04|GPSA|M|1987M10|0.07
A5M|CSCICP04|GPSA|M|1987M11|0.13
A5M|CSCICP04|GPSA|M|1987M12|0.13
A5M|CSCICP04|GPSA|M|1988M1|0.13
A5M|CSCICP04|GPSA|M|1988M2|0
A5M|CSCICP04|GPSA|M|1988M3|0
A5M|CSCICP04|GPSA|M|1988M4|0
A5M|CSCICP04|GPSA|M|1988M5|0
A5M|CSCICP04|GPSA|M|1988M6|0
A5M|CSCICP04|GPSA|M|1988M7|0
A5M|CSCICP04|GPSA|M|1988M8|0.07
A5M|CSCICP04|GPSA|M|1988M9|0.06
A5M|CSCICP04|GPSA|M|1988M10|0.06
A5M|CSCICP04|GPSA|M|1988M11|-0.13
A5M|CSCICP04|GPSA|M|1988M12|-0.13
A5M|CSCICP04|GPSA|M|1989M1|-0.13
A5M|CSCICP04|GPSA|M|1989M2|-0.07
A5M|CSCICP04|GPSA|M|1989M3|-0.07
A5M|CSCICP04|GPSA|M|1989M4|-0.07
A5M|CSCICP04|GPSA|M|1989M5|0.07
A5M|CSCICP04|GPSA|M|1989M6|0.07
A5M|CSCICP04|GPSA|M|1989M7|0.07
A5M|CSCICP04|GPSA|M|1989M8|0.13
A5M|CSCICP04|GPSA|M|1989M9|0.13
A5M|CSCICP04|GPSA|M|1989M10|0.13
A5M|CSCICP04|GPSA|M|1989M11|-0.06
A5M|CSCICP04|GPSA|M|1989M12|-0.06
A5M|CSCICP04|GPSA|M|1990M1|-0.48
A5M|CSCICP04|GPSA|M|1990M2|0
A5M|CSCICP04|GPSA|M|1990M3|0.01
A5M|CSCICP04|GPSA|M|1990M4|0.02
A5M|CSCICP04|GPSA|M|1990M5|-0.02
A5M|CSCICP04|GPSA|M|1990M6|-0.03
A5M|CSCICP04|GPSA|M|1990M7|-0.06
A5M|CSCICP04|GPSA|M|1990M8|-0.02
A5M|CSCICP04|GPSA|M|1990M9|-0.02
A5M|CSCICP04|GPSA|M|1990M10|0
A5M|CSCICP04|GPSA|M|1990M11|0.07
A5M|CSCICP04|GPSA|M|1990M12|0.1
