ISO|Code|Code2|Freq|Time|Value
AUS|CSCICP04|GPSA|M|2022M1|-0.18
AUS|CSCICP04|GPSA|M|2022M2|-0.09
AUS|CSCICP04|GPSA|M|2022M3|-0.37
AUS|CSCICP04|GPSA|M|2022M4|-0.09
AUS|CSCICP04|GPSA|M|2022M5|-0.55
AUS|CSCICP04|GPSA|M|2022M6|-0.37
AUT|CSCICP04|GPSA|M|2022M1|0.18
AUT|CSCICP04|GPSA|M|2022M2|0.16
AUT|CSCICP04|GPSA|M|2022M3|-1.63
AUT|CSCICP04|GPSA|M|2022M4|0.14
AUT|CSCICP04|GPSA|M|2022M5|-0.33
AUT|CSCICP04|GPSA|M|2022M6|-0.01
BEL|CSCICP04|GPSA|M|2022M1|-0.08
BEL|CSCICP04|GPSA|M|2022M2|0.01
BEL|CSCICP04|GPSA|M|2022M3|-1.5
BEL|CSCICP04|GPSA|M|2022M4|0.41
BEL|CSCICP04|GPSA|M|2022M5|-0.07
BEL|CSCICP04|GPSA|M|2022M6|0.03
BRA|CSCICP04|GPSA|M|2022M1|-0.12
BRA|CSCICP04|GPSA|M|2022M2|0.34
BRA|CSCICP04|GPSA|M|2022M3|-0.27
BRA|CSCICP04|GPSA|M|2022M4|0.34
BRA|CSCICP04|GPSA|M|2022M5|-0.27
BRA|CSCICP04|GPSA|M|2022M6|0.31
CAN|CSCICP04|GPSA|M|2022M1|-0.03
CAN|CSCICP04|GPSA|M|2022M2|-0.42
CAN|CSCICP04|GPSA|M|2022M3|0.12
CAN|CSCICP04|GPSA|M|2022M4|0.26
CAN|CSCICP04|GPSA|M|2022M5|-0.66
CAN|CSCICP04|GPSA|M|2022M6|-0.49
CHE|CSCICP04|GPSA|M|2022M1|-0.17
CHE|CSCICP04|GPSA|M|2022M2|-0.17
CHE|CSCICP04|GPSA|M|2022M3|-0.42
CHE|CSCICP04|GPSA|M|2022M4|-0.42
CHE|CSCICP04|GPSA|M|2022M5|-0.43
CHL|CSCICP04|GPSA|M|2022M1|0.04
CHL|CSCICP04|GPSA|M|2022M2|-0.51
CHL|CSCICP04|GPSA|M|2022M3|-0.09
CHL|CSCICP04|GPSA|M|2022M4|-0.85
CHL|CSCICP04|GPSA|M|2022M5|-0.16
CHL|CSCICP04|GPSA|M|2022M6|0.17
CHN|CSCICP04|GPSA|M|2022M1|0.24
CHN|CSCICP04|GPSA|M|2022M2|-0.14
CHN|CSCICP04|GPSA|M|2022M3|-1.04
CHN|CSCICP04|GPSA|M|2022M4|-3.82
CHN|CSCICP04|GPSA|M|2022M5|0.01
COL|CSCICP04|GPSA|M|2022M1|-0.37
COL|CSCICP04|GPSA|M|2022M2|-0.23
COL|CSCICP04|GPSA|M|2022M3|-0.02
COL|CSCICP04|GPSA|M|2022M4|0.02
CRI|CSCICP04|GPSA|M|2022M1|0.18
CRI|CSCICP04|GPSA|M|2022M2|0.18
CRI|CSCICP04|GPSA|M|2022M3|-0.1
CRI|CSCICP04|GPSA|M|2022M4|-0.1
CRI|CSCICP04|GPSA|M|2022M5|-0.1
CZE|CSCICP04|GPSA|M|2022M1|-0.02
CZE|CSCICP04|GPSA|M|2022M2|0.18
CZE|CSCICP04|GPSA|M|2022M3|-1.41
CZE|CSCICP04|GPSA|M|2022M4|0.09
CZE|CSCICP04|GPSA|M|2022M5|-0.13
CZE|CSCICP04|GPSA|M|2022M6|-0.12
DEU|CSCICP04|GPSA|M|2022M1|0.23
DEU|CSCICP04|GPSA|M|2022M2|-0.12
DEU|CSCICP04|GPSA|M|2022M3|-1.11
DEU|CSCICP04|GPSA|M|2022M4|-0.45
DEU|CSCICP04|GPSA|M|2022M5|0.07
DEU|CSCICP04|GPSA|M|2022M6|-0.2
DNK|CSCICP04|GPSA|M|2022M1|-0.06
DNK|CSCICP04|GPSA|M|2022M2|-0.01
DNK|CSCICP04|GPSA|M|2022M3|-1.67
DNK|CSCICP04|GPSA|M|2022M4|-0.49
DNK|CSCICP04|GPSA|M|2022M5|-0.1
DNK|CSCICP04|GPSA|M|2022M6|-0.26
ESP|CSCICP04|GPSA|M|2022M1|0.18
ESP|CSCICP04|GPSA|M|2022M2|0.28
ESP|CSCICP04|GPSA|M|2022M3|-1.84
ESP|CSCICP04|GPSA|M|2022M4|0.14
ESP|CSCICP04|GPSA|M|2022M5|0.44
ESP|CSCICP04|GPSA|M|2022M6|-0.6
EST|CSCICP04|GPSA|M|2022M1|-0.36
EST|CSCICP04|GPSA|M|2022M2|-0.06
EST|CSCICP04|GPSA|M|2022M3|-0.24
EST|CSCICP04|GPSA|M|2022M4|-0.26
EST|CSCICP04|GPSA|M|2022M5|-0.81
EST|CSCICP04|GPSA|M|2022M6|-0.54
FIN|CSCICP04|GPSA|M|2022M1|0.2
FIN|CSCICP04|GPSA|M|2022M2|0.23
FIN|CSCICP04|GPSA|M|2022M3|-1.79
FIN|CSCICP04|GPSA|M|2022M4|-0.09
FIN|CSCICP04|GPSA|M|2022M5|0.02
FIN|CSCICP04|GPSA|M|2022M6|-0.38
FRA|CSCICP04|GPSA|M|2022M1|-0.11
FRA|CSCICP04|GPSA|M|2022M2|0.11
FRA|CSCICP04|GPSA|M|2022M3|-1.89
FRA|CSCICP04|GPSA|M|2022M4|0.25
