"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"HUN","Hungary","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",-0.03,,
"HUN","Hungary","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",-0.18,,
"HUN","Hungary","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",0.02,,
"HUN","Hungary","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",-0.18,,
"HUN","Hungary","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-21",0.06,,
"HUN","Hungary","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-02","Feb-21",-0.03,,
"CZE","Czech Republic","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",-0.02,,
"CZE","Czech Republic","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",-0.8,,
"CZE","Czech Republic","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",-0.24,,
"CZE","Czech Republic","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",0.65,,
"CZE","Czech Republic","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-21",-0.26,,
"CZE","Czech Republic","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-02","Feb-21",-0.09,,
"NLD","Netherlands","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",0.1,,
"NLD","Netherlands","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",-0.29,,
"NLD","Netherlands","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",0.46,,
"NLD","Netherlands","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",0.42,,
"NLD","Netherlands","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-21",0.08,,
"NLD","Netherlands","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-02","Feb-21",-0.08,,
"BRA","Brazil","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",0.28,,
"BRA","Brazil","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",-0.09,,
"BRA","Brazil","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",-0.06,,
"BRA","Brazil","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",-0.28,,
"BRA","Brazil","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-21",-0.24,,
